Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2
SRX671508	1/3/17 9:54	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR1538467	SRP045313	PRJNA257669	257669	SRS676050	SAMN02953890	SRA178383	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	941619	2953890	GSE60177	GSM1466899	26290475				
SRX681635	8/18/14 10:55	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR1552105	SRP045514	PRJNA258237	258237	SRS685296	SAMN02991084	SRA179273	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC		NANYANG TECHNOLOGICAL UNIVERSITY	100	0	953965	2991084				PAO1			
SRX681836	8/18/14 10:55	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR1552109	SRP045514	PRJNA258237	258237	SRS685296	SAMN02991084	SRA179273	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC		NANYANG TECHNOLOGICAL UNIVERSITY	100	0	954166	2991084				PAO1			
SRX681837	8/18/14 10:55	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR1552112	SRP045514	PRJNA258237	258237	SRS685296	SAMN02991084	SRA179273	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC		NANYANG TECHNOLOGICAL UNIVERSITY	100	0	954167	2991084				PAO1			
SRX682369	8/18/14 10:55	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR1552114	SRP045514	PRJNA258237	258237	SRS685873	SAMN02991554	SRA179273	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC		NANYANG TECHNOLOGICAL UNIVERSITY	100	0	955279	2991554				PAO1			
SRX682370	8/18/14 10:55	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR1552115	SRP045514	PRJNA258237	258237	SRS685873	SAMN02991554	SRA179273	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC		NANYANG TECHNOLOGICAL UNIVERSITY	100	0	955280	2991554				PAO1			
SRX682371	8/18/14 10:55	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR1552116	SRP045514	PRJNA258237	258237	SRS685873	SAMN02991554	SRA179273	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC		NANYANG TECHNOLOGICAL UNIVERSITY	100	0	955281	2991554				PAO1			
SRX761422	1/24/16 12:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR1654900	SRP049980	PRJNA267642	267642	SRS745956	SAMN03198948	SRA202824	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1100416	3198948	GSE63388	GSM1547958	27075392				
SRX761423	1/24/16 12:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	SRR1654901	SRP049980	PRJNA267642	267642	SRS745957	SAMN03198949	SRA202824	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1100417	3198949	GSE63388	GSM1547959	27075392				
SRX1017131	6/29/15 16:07	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2007326	SRP057994	PRJNA283002	283002	SRS928389	SAMN03581443	SRA266206	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1473813	3581443	GSE68534	GSM1674725	26078448	Laboratory strain			
SRX1017132	6/29/15 16:07	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2007327	SRP057994	PRJNA283002	283002	SRS928388	SAMN03581444	SRA266206	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1473814	3581444	GSE68534	GSM1674726	26078448	Laboratory strain			
SRX1017133	6/29/15 16:07	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2007328	SRP057994	PRJNA283002	283002	SRS928387	SAMN03581445	SRA266206	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1473815	3581445	GSE68534	GSM1674727	26078448	Laboratory strain			
SRX1017134	6/29/15 16:07	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2007329	SRP057994	PRJNA283002	283002	SRS928386	SAMN03581446	SRA266206	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1473816	3581446	GSE68534	GSM1674728	26078448	Laboratory strain			
SRX1017135	6/29/15 16:07	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2007330	SRP057994	PRJNA283002	283002	SRS928385	SAMN03581447	SRA266206	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1473817	3581447	GSE68534	GSM1674729	26078448	"J215, Cystic fibrosis clinical isolate"			
SRX1017136	6/29/15 16:07	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2007331	SRP057994	PRJNA283002	283002	SRS928384	SAMN03581448	SRA266206	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1473818	3581448	GSE68534	GSM1674730	26078448	"J215, Cystic fibrosis clinical isolate"			
SRX1017137	6/29/15 16:07	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2007332	SRP057994	PRJNA283002	283002	SRS928383	SAMN03581449	SRA266206	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1473819	3581449	GSE68534	GSM1674731	26078448	"J215, Cystic fibrosis clinical isolate"			
SRX1017138	6/29/15 16:07	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR2007333	SRP057994	PRJNA283002	283002	SRS928382	SAMN03581450	SRA266206	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1473820	3581450	GSE68534	GSM1674732	26078448	"J215, Cystic fibrosis clinical isolate"			
SRX1118953	7/31/15 0:00	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2132570	SRP061622	PRJNA289203	289203	SRS1011614	SAMN03846979	SRA280266	RNA-Seq	unspecified	TRANSCRIPTOMIC		UT SOUTHWESTERN MEDICAL CENTER	0	0	1632958	3846979				Pseudomonas aeruginosa PAO1			
SRX1118956	7/31/15 0:00	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2132562	SRP061622	PRJNA289203	289203	SRS1011627	SAMN03846964	SRA280266	RNA-Seq	unspecified	TRANSCRIPTOMIC		UT SOUTHWESTERN MEDICAL CENTER	0	0	1632961	3846964				Pseudomonas aeruginosa PAO1			
SRX1119735	7/31/15 0:00	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2132571	SRP061622	PRJNA289203	289203	SRS1012063	SAMN03846950	SRA280266	RNA-Seq	unspecified	TRANSCRIPTOMIC		UT SOUTHWESTERN MEDICAL CENTER	0	0	1633740	3846950				Pseudomonas aeruginosa PAO1			
SRX1120676	7/31/15 0:00	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2132572	SRP061622	PRJNA289203	289203	SRS1012651	SAMN03846948	SRA280266	RNA-Seq	unspecified	TRANSCRIPTOMIC		UT SOUTHWESTERN MEDICAL CENTER	0	0	1634681	3846948				Pseudomonas aeruginosa PAO1			
SRX1140450	12/2/16 2:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	SRR2153381	SRP062215	PRJNA292399	292399	SRS1026523	SAMN03979742	SRA288402	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1662476	3979742	GSE71880	GSM1847154					
SRX1140451	12/2/16 2:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	SRR2153382	SRP062215	PRJNA292399	292399	SRS1026522	SAMN03979743	SRA288402	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1662477	3979743	GSE71880	GSM1847155					
SRX1140452	12/2/16 2:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	SRR2153383	SRP062215	PRJNA292399	292399	SRS1026521	SAMN03979744	SRA288402	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1662478	3979744	GSE71880	GSM1847156					
SRX1140453	12/2/16 2:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	SRR2153384	SRP062215	PRJNA292399	292399	SRS1026520	SAMN03979745	SRA288402	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1662479	3979745	GSE71880	GSM1847157					
SRX1140454	12/2/16 2:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	SRR2153385	SRP062215	PRJNA292399	292399	SRS1026519	SAMN03979746	SRA288402	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1662480	3979746	GSE71880	GSM1847158					
SRX1140455	12/2/16 2:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	SRR2153386	SRP062215	PRJNA292399	292399	SRS1026518	SAMN03979747	SRA288402	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1662481	3979747	GSE71880	GSM1847159					
SRX1140456	12/2/16 2:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	SRR2153387	SRP062215	PRJNA292399	292399	SRS1026517	SAMN03979748	SRA288402	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1662482	3979748	GSE71880	GSM1847160					
SRX1140457	12/2/16 2:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	SRR2153388	SRP062215	PRJNA292399	292399	SRS1026516	SAMN03979749	SRA288402	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1662483	3979749	GSE71880	GSM1847161					
SRX1156127	8/17/16 22:45	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2170936	SRP062516	PRJNA293013	293013	SRS1038085	SAMN03995936	SRA289493	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC		SCELSE	0	0	1681154	3995936				PAO1			
SRX1156135	8/17/16 22:45	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2170937	SRP062516	PRJNA293013	293013	SRS1038085	SAMN03995936	SRA289493	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC		SCELSE	0	0	1681162	3995936				PAO1			
SRX1156136	8/17/16 22:45	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2170938	SRP062516	PRJNA293013	293013	SRS1038089	SAMN03995937	SRA289493	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC		SCELSE	0	0	1681163	3995937				PAO1			
SRX1156137	8/17/16 22:45	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2170940	SRP062516	PRJNA293013	293013	SRS1038089	SAMN03995937	SRA289493	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC		SCELSE	0	0	1681164	3995937				PAO1			
SRX1156138	8/17/16 22:45	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2170941	SRP062516	PRJNA293013	293013	SRS1038090	SAMN03995938	SRA289493	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC		SCELSE	0	0	1681165	3995938				PAO1			
SRX1156140	8/17/16 22:45	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2170942	SRP062516	PRJNA293013	293013	SRS1038090	SAMN03995938	SRA289493	RNA-Seq	Hybrid Selection	TRANSCRIPTOMIC		SCELSE	0	0	1681167	3995938				PAO1			
SRX1273291	4/8/16 12:46	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2482985	SRP063996	PRJNA296610	296610	SRS1080028	SAMN04101977	SRA300437	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1822808	4101977	GSE73323	GSM1890774	27116299	PAO1	wild type		
SRX1273292	4/8/16 12:46	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2482986	SRP063996	PRJNA296610	296610	SRS1080027	SAMN04101978	SRA300437	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1822809	4101978	GSE73323	GSM1890775	27116299	PAO1	wild type		
SRX1273293	4/8/16 12:46	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2482987	SRP063996	PRJNA296610	296610	SRS1080029	SAMN04101979	SRA300437	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1822810	4101979	GSE73323	GSM1890776	27116299	PAO1	wild type		
SRX1273294	4/8/16 12:46	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2482988	SRP063996	PRJNA296610	296610	SRS1080026	SAMN04101980	SRA300437	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1822811	4101980	GSE73323	GSM1890777	27116299	PAO1	wild type		
SRX1273295	4/8/16 12:46	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2482989	SRP063996	PRJNA296610	296610	SRS1080025	SAMN04101981	SRA300437	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1822812	4101981	GSE73323	GSM1890778	27116299	PAO1	wild type		
SRX1352980	10/15/18 15:45	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2720411	SRP064955	PRJNA299113	299113	SRS1120222	SAMN04193707	SRA305768	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1930590	4193707	GSE74121	GSM1910815					
SRX1352981	10/15/18 15:45	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2720412	SRP064955	PRJNA299113	299113	SRS1120221	SAMN04193708	SRA305768	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1930591	4193708	GSE74121	GSM1910816					
SRX1352982	10/15/18 15:45	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR2720413	SRP064955	PRJNA299113	299113	SRS1120220	SAMN04193709	SRA305768	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	1930592	4193709	GSE74121	GSM1910817					
SRX1411278	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901089	SRP065759	PRJNA300924	300924	SRS1145899	SAMN04230898	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999579	4230898				PAO1			
SRX1411279	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901090	SRP065759	PRJNA300924	300924	SRS1145899	SAMN04230898	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999580	4230898				PAO1			
SRX1411280	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901091	SRP065759	PRJNA300924	300924	SRS1145899	SAMN04230898	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999581	4230898				PAO1			
SRX1411281	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901092	SRP065759	PRJNA300924	300924	SRS1145900	SAMN04230899	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999582	4230899				HapZ			
SRX1411282	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901093	SRP065759	PRJNA300924	300924	SRS1145900	SAMN04230899	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999583	4230899				HapZ			
SRX1411283	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901094	SRP065759	PRJNA300924	300924	SRS1145900	SAMN04230899	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999584	4230899				HapZ			
SRX1411284	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901095	SRP065759	PRJNA300924	300924	SRS1145901	SAMN04230900	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999585	4230900				SagS			
SRX1411285	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901096	SRP065759	PRJNA300924	300924	SRS1145901	SAMN04230900	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999586	4230900				SagS			
SRX1411286	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901097	SRP065759	PRJNA300924	300924	SRS1145901	SAMN04230900	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999587	4230900				SagS			
SRX1411287	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901140	SRP065759	PRJNA300924	300924	SRS1145902	SAMN04230901	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999588	4230901				HapZ+pHapZ			
SRX1411288	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901233	SRP065759	PRJNA300924	300924	SRS1145902	SAMN04230901	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999589	4230901				HapZ+pHapZ			
SRX1411289	11/4/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2500	SRR2901301	SRP065759	PRJNA300924	300924	SRS1145902	SAMN04230901	SRA309258	RNA-Seq	RANDOM	TRANSCRIPTOMIC		SCELSE	0	0	1999590	4230901				HapZ+pHapZ			
SRX1491234	1/16/16 2:55	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	SRR3032163	SRP066875	PRJNA304652	304652	SRS1185754	SAMN04305932	SRA314435	RNA-Seq	cDNA	TRANSCRIPTOMIC		UNIVERSITI MALAYA	0	0	2101665	4305932				PAO1			
SRX1491235	1/17/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	SRR3032164	SRP066875	PRJNA304652	304652	SRS1185754	SAMN04305932	SRA314435	RNA-Seq	cDNA	TRANSCRIPTOMIC		UNIVERSITI MALAYA	0	0	2101666	4305932				PAO1			
SRX1491236	1/17/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	SRR3032165	SRP066875	PRJNA304652	304652	SRS1185754	SAMN04305932	SRA314435	RNA-Seq	cDNA	TRANSCRIPTOMIC		UNIVERSITI MALAYA	0	0	2101667	4305932				PAO1			
SRX1491238	1/17/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	SRR3032167	SRP066875	PRJNA304652	304652	SRS1185754	SAMN04305932	SRA314435	RNA-Seq	cDNA	TRANSCRIPTOMIC		UNIVERSITI MALAYA	0	0	2101669	4305932				PAO1			
SRX1491239	1/17/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	SRR3032168	SRP066875	PRJNA304652	304652	SRS1185754	SAMN04305932	SRA314435	RNA-Seq	cDNA	TRANSCRIPTOMIC		UNIVERSITI MALAYA	0	0	2101670	4305932				PAO1			
SRX1516139	1/8/16 17:47	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	SRR3084458;SRR3084459;SRR3084460;SRR3084461	SRP068065	PRJNA307608	307608	SRS1234843	SAMN04383820	SRA328082	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	2144237	4383820	GSE76522	GSM2027500	27303730	PAO1	WT		
SRX1516140	1/8/16 17:47	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	SRR3084462;SRR3084463;SRR3084464;SRR3084465	SRP068065	PRJNA307608	307608	SRS1234844	SAMN04383821	SRA328082	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	2144238	4383821	GSE76522	GSM2027501	27303730	PAO1	WT		
SRX1516141	1/8/16 17:47	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	SRR3084466;SRR3084467;SRR3084468;SRR3084469	SRP068065	PRJNA307608	307608	SRS1234841	SAMN04383822	SRA328082	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	2144239	4383822	GSE76522	GSM2027502	27303730	deltagcsR PAO1	deltagcsR		
SRX1516142	1/8/16 17:47	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	SRR3084470;SRR3084471;SRR3084472;SRR3084473	SRP068065	PRJNA307608	307608	SRS1234842	SAMN04383823	SRA328082	RNA-Seq	cDNA	TRANSCRIPTOMIC		GEO	0	0	2144240	4383823	GSE76522	GSM2027503	27303730	deltagcsR PAO2	deltagcsR		
SRX1567506	2/11/16 2:29	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2500	SRR3156053	SRP069795	PRJNA311263	311263	SRS1281629	SAMN04481173	SRA352193	RNA-Seq	unspecified	TRANSCRIPTOMIC		NANKAI UNIVERSITY COLLEGE OF LIFE SCIENCES	0	0	2217315	4481173							
SRX1630362	3/26/16 0:00	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR3223907	SRP071734	PRJNA315087	315087	SRS1337833	SAMN04549367	SRA385204	RNA-Seq	unspecified	TRANSCRIPTOMIC		NATIONAL TSING HUA UNIVERSITY	0	0	2333764	4549367				PAO1			
SRX1630372	3/26/16 0:00	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina HiSeq 2000	SRR3223909	SRP071734	PRJNA315087	315087	SRS1337843	SAMN04549372	SRA385204	RNA-Seq	unspecified	TRANSCRIPTOMIC		NATIONAL TSING HUA UNIVERSITY	0	0	2333774	4549372				PAO1_fliA mutant			
SRX1657515	3/28/16 15:29	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ION_TORRENT	Ion Torrent PGM	SRR3286842	SRP072237	PRJNA316121	316121	SRS1357751	SAMN04576375	SRA393773	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		BINGHAMTON UNIVERSITY	0	0	2376214	4576375				PAO1			
SRX1657516	3/28/16 15:30	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ION_TORRENT	Ion Torrent PGM	SRR3286843	SRP072237	PRJNA316121	316121	SRS1357751	SAMN04576375	SRA393773	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		BINGHAMTON UNIVERSITY	0	0	2376215	4576375				PAO1			
SRX1657517	3/28/16 15:30	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ION_TORRENT	Ion Torrent PGM	SRR3286844	SRP072237	PRJNA316121	316121	SRS1357751	SAMN04576375	SRA393773	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		BINGHAMTON UNIVERSITY	0	0	2376216	4576375				PAO1			
